Site,Code,Dataset,State,County,Latitude,Longitude,Elevation,StartDate,EndDate,NumPOCs,ID
Quabbin Summit,QURE1,IMPFSPED,MA,25015,42.29850,-72.33460,317,04/04/2001,12/29/2015,2,132
Quaker City,QUCI1,IMPFSPED,OH,39121,39.94280,-81.33780,366,04/04/2001,10/29/2018,1,139
Queen Valley,QUVA1,IMPFSPED,AZ,04021,33.29390,-111.28580,661,04/19/2001,12/29/2015,1,122
Redwood NP,REDW1,IMPFSPED,CA,06015,41.56080,-124.08390,243,03/02/1988,10/29/2018,1,88
Ripple Creek,RICR1,IMPFSPED,CO,08103,40.08650,-107.31410,2934,03/02/2009,10/30/2011,1,25552
Rocky Mountain NP,ROMO1,IMPFSPED,CO,08069,40.27830,-105.54570,2760,09/01/1990,10/29/2018,1,57
Rocky Mountain NP HQ,RMHQ1,IMPFSPED,CO,08069,40.36240,-105.56380,2408,03/02/1988,12/29/1999,1,182
Rubidoux,RUBI1,IMPFSPED,CA,06065,33.99960,-117.41610,247,09/03/2004,08/29/2005,1,25543
Sac and Fox,SAFO1,IMPFSPED,KS,20013,39.97910,-95.56820,293,06/01/2002,06/29/2011,2,154
Saguaro NM,SAGU1,IMPFSPED,AZ,04019,32.17460,-110.73710,941,06/01/1988,10/29/2018,1,40
Saguaro West,SAWE1,IMPFSPED,AZ,04019,32.24860,-111.21780,714,10/31/2001,10/29/2018,2,121
Salmon NF,SALM1,IMPFSPED,ID,16059,45.15880,-114.02600,2788,12/01/1993,11/05/2000,1,114
Salt Creek,SACR1,IMPFSPED,NM,35005,33.45980,-104.40420,1072,04/08/2000,10/29/2018,1,36
San Andres,SAAN1,IMPFSPED,NM,35013,32.68690,-106.48440,1326,07/30/1997,02/26/2000,1,184
San Gabriel,SAGA1,IMPFSPED,CA,06037,34.29690,-118.02820,1791,12/03/2001,10/29/2018,1,93
San Gorgonio Wilderness,SAGO1,IMPFSPED,CA,06071,34.19390,-116.91320,1726,03/02/1988,10/29/2018,1,99
San Pedro Parks,SAPE1,IMPFSPED,NM,35039,36.01390,-106.84470,2935,08/16/2000,10/29/2018,1,34
San Rafael,RAFA1,IMPFSPED,CA,06083,34.73390,-120.00740,956,02/02/2000,10/29/2018,1,94
Sawtooth NF,SAWT1,IMPFSPED,ID,16037,44.17050,-114.92710,1990,12/01/1993,10/29/2018,1,70
Scoville,SCOV1,IMPFSPED,ID,16023,107.63450,39.91530,1500,03/04/1992,02/26/2000,1,185
Seney,SENE1,IMPFSPED,MI,26153,46.28890,-85.95030,214,11/17/1999,10/29/2018,2,22
Sequoia NP,SEQU1,IMPFSPED,CA,06107,36.48940,-118.82910,519,03/04/1992,10/29/2018,1,98
Shamrock Mine,SHMI1,IMPFSPED,CO,08067,37.30380,-107.48420,2351,08/01/2004,10/29/2018,1,25544
Shenandoah NP,SHEN1,IMPFSPED,VA,51113,38.52290,-78.43480,1079,03/02/1988,10/29/2018,1,6
Shining Rock Wilderness,SHRO1,IMPFSPED,NC,37087,35.39370,-82.77440,1617,06/01/1994,10/29/2018,1,11
Sierra Ancha,SIAN1,IMPFSPED,AZ,04007,34.09080,-110.94210,1600,02/09/2000,12/03/2017,1,45
Sikes,SIKE1,IMPFSPED,LA,22127,32.05740,-92.43500,45,03/02/2001,12/31/2010,1,143
Simeonof,SIME1,IMPFSPED,AK,02013,55.32550,-160.50630,57,09/13/2001,10/29/2018,1,105
Sipsey Wilderness,SIPS1,IMPFSPED,AL,01079,34.34330,-87.33880,286,03/04/1992,10/29/2018,1,21
Snoqualmie Pass,SNPA1,IMPFSPED,WA,53037,47.42200,-121.42590,1049,06/02/1993,10/29/2018,1,80
South Dekalb,ATLA1,IMPFSPED,GA,13089,33.68800,-84.29030,243,03/01/2004,10/29/2018,1,25531
South Lake Tahoe,SOLA1,IMPFSPED,CA,06017,38.93330,-119.96670,1900,03/01/1989,12/29/1999,1,186
Spokane Res.,SPOK1,IMPFSPED,WA,53063,47.90450,-117.86090,552,07/12/2001,06/30/2005,1,135
St. Marks,SAMA1,IMPFSPED,FL,12129,30.09260,-84.16140,7,08/16/2000,10/29/2018,2,17
Starkey,STAR1,IMPFSPED,OR,41061,45.22490,-118.51290,1259,03/15/2000,10/29/2018,1,76
Stilwell,STIL1,IMPFSPED,OK,40071,35.75078,-94.66956,300,04/23/2010,10/29/2018,1,94971
Storm Peak,STPE1,IMPFSPED,CO,08107,40.44500,-106.74000,3220,12/01/1993,12/29/1999,1,187
Sula Peak,SULA1,IMPFSPED,MT,30081,45.85980,-114.00010,1895,06/01/1994,10/29/2018,1,71
Swanquarter,SWAN1,IMPFSPED,NC,37095,35.45100,-76.20750,-3,06/10/2000,10/29/2018,2,14
Sycamore Canyon,SYCA1,IMPFSPED,AZ,04005,35.14060,-111.96920,2046,09/04/1991,10/30/2015,1,47
Sycamore Canyon,SYCA2,IMPFSPED,AZ,04005,35.16390,-111.98230,2046,10/24/2015,10/29/2018,1,100880
Tallgrass,TALL1,IMPFSPED,KS,20017,38.43410,-96.56020,390,09/02/2002,10/29/2018,1,155
Theodore Roosevelt,THRO1,IMPFSPED,ND,38007,46.89480,-103.37770,852,12/15/1999,10/29/2018,1,61
Three Sisters Wilderness,THSI1,IMPFSPED,OR,41039,44.29100,-122.04340,885,06/02/1993,10/29/2018,1,84
Thunder Basin,THBA1,IMPFSPED,WY,56005,44.66340,-105.28740,1195,06/01/2002,10/29/2018,1,164
Tonto NM,TONT1,IMPFSPED,AZ,04007,33.65480,-111.10680,775,03/02/1988,10/29/2018,1,44
Trapper Creek,TRCR1,IMPFSPED,AK,02170,62.31530,-150.31560,155,09/13/2001,10/29/2018,2,112
Trinity,TRIN1,IMPFSPED,CA,06105,40.78640,-122.80460,1014,10/18/2000,10/29/2018,1,104
Tuxedni,TUXE1,IMPFSPED,AK,02122,59.99250,-152.66560,15,12/03/2001,01/12/2015,1,103
UL Bend,ULBE1,IMPFSPED,MT,30027,47.58227,-108.71964,891,01/26/2000,10/29/2018,1,64
Upper Buffalo Wilderness,UPBU1,IMPFSPED,AR,05101,35.82580,-93.20300,722,12/04/1991,10/29/2018,1,27
Viking Lake,VILA1,IMPFSPED,IA,19137,40.96900,-95.04500,371,05/08/2002,10/29/2018,1,149
Virgin Islands NP,VIIS1,IMPFSPED,VI,78020,18.33630,-64.79620,51,09/01/1990,11/27/2017,1,106
Voyageurs NP #1,VOYA1,IMPFSPED,MN,27137,48.41320,-92.83030,425,03/02/1988,12/29/1999,1,24
Voyageurs NP #2,VOYA2,IMPFSPED,MN,27137,48.41260,-92.82860,429,03/02/1988,10/29/2018,1,188
Walker River Paiute Tribe,WARI1,IMPFSPED,NV,32021,38.95190,-118.81460,1250,06/02/2003,10/31/2005,1,521
Washington D.C.,WASH1,IMPFSPED,DC,11001,38.87620,-77.03440,15,03/02/1988,06/08/2015,1,120
Weminuche Wilderness,WEMI1,IMPFSPED,CO,08111,37.65940,-107.79988,2750,03/02/1988,10/29/2018,1,55
Wheeler Peak,WHPE1,IMPFSPED,NM,35055,36.58540,-105.45200,3366,08/16/2000,10/29/2018,1,35
White Mountain,WHIT1,IMPFSPED,NM,35027,33.46870,-105.53490,2063,12/03/2001,10/29/2018,1,37
White Pass,WHPA1,IMPFSPED,WA,53041,46.62430,-121.38810,1827,02/16/2000,10/29/2018,1,79
White River NF,WHRI1,IMPFSPED,CO,08097,39.15360,-106.82090,3413,06/02/1993,10/29/2018,1,56
Wichita Mountains,WIMO1,IMPFSPED,OK,40031,34.73230,-98.71300,509,03/02/2001,10/29/2018,1,30
Wind Cave,WICA1,IMPFSPED,SD,46033,43.55760,-103.48380,1296,12/15/1999,10/29/2018,2,60
Wrightwood,WRIG1,IMPFSPED,CA,06071,34.37892,-117.69211,2106,10/01/2009,10/15/2012,1,59990
Yellowstone NP 1,YELL1,IMPFSPED,WY,56039,44.56540,-110.40030,2442,03/09/1988,12/29/1999,1,66
Yellowstone NP 2,YELL2,IMPFSPED,WY,56039,44.56530,-110.40020,2425,03/02/1988,10/29/2018,1,189
Yosemite NP,YOSE1,IMPFSPED,CA,06043,37.71330,-119.70610,1603,03/02/1988,10/29/2018,2,98215
Yosemite NP,YOSEX,IMPFSPED,CA,06043,37.71330,-119.70610,1603,11/02/2012,07/29/2015,1,96
Zion,ZION1,IMPFSPED,UT,49053,37.45910,-113.22430,1545,03/25/2000,08/22/2004,1,51
Zion Canyon,ZICA1,IMPFSPED,UT,49053,37.19830,-113.15080,1215,12/01/2002,10/29/2018,1,513
